CONTRACT_ID,km_8,km_16
17228104,2,2
17237409,0,12
17276280,7,7
17282809,6,10
17283247,0,8
17294333,0,8
17306398,2,11
17320168,0,12
17324117,0,12
17343042,4,13
17361127,0,12
17380290,7,7
17380435,0,12
17440098,0,8
17440159,0,12
17441336,0,12
17451043,0,12
17453460,0,12
17457275,4,13
17457499,0,8
17464703,6,10
17469653,0,12
17471524,0,12
17480620,0,12
17482944,0,12
17486396,0,12
17487145,2,11
17487154,4,4
17496736,7,7
17515338,0,12
17519015,4,4
17526637,6,10
17527642,4,13
17534386,4,12
17539543,7,7
17540012,1,1
17543478,7,7
17547601,0,8
17549778,0,12
17550256,0,12
17551572,0,12
17556467,4,13
17565285,7,7
17566489,0,12
17583019,4,4
17596058,0,8
17600051,0,12
17605180,0,12
17612130,4,4
17614909,0,12
17614995,0,12
17615741,2,11
17615965,6,10
17616155,5,5
17616223,4,4
17617121,6,10
17619665,6,10
17620492,0,12
17620542,4,4
17630865,0,12
17635143,0,12
17643174,0,12
17643189,0,12
17645359,6,10
17648386,0,8
17648448,4,13
17648985,0,12
17652337,4,13
17653775,0,12
17656550,0,12
17657283,0,12
17658637,0,12
17664447,0,12
17666541,0,12
17669732,0,12
17670028,0,12
17670249,4,4
17676552,5,5
17699612,0,8
17700846,0,12
17701738,2,11
17705211,7,7
17712533,0,8
17713743,0,8
17718361,0,12
17718710,0,12
17720131,0,8
17723600,0,8
17723740,4,4
17725882,0,12
17730318,0,8
17730660,7,7
17731914,2,2
17732851,0,12
17738727,0,8
17739962,0,12
17741051,0,12
17749040,0,12
17751775,0,12
17752110,0,12
17752306,7,7
17752354,0,12
17753422,0,8
17753521,6,10
17753585,0,8
17753971,4,13
17757281,0,12
17761923,4,12
17764004,4,4
17764233,5,5
17764554,0,12
17766028,0,8
17766425,0,8
17766973,0,12
17771113,4,13
17777713,4,4
17778913,4,13
17780202,0,12
17787483,0,12
17790411,4,13
17790745,4,4
17793790,0,12
17794613,0,12
17795930,0,12
17807552,0,8
17807627,0,8
17818042,5,5
17823447,4,13
17831388,0,8
17832542,0,8
17833164,0,12
17833576,7,7
17837263,0,12
17837393,0,12
17837605,0,8
17837693,4,4
17846477,0,12
17847232,0,12
17858932,4,4
17865751,4,4
17868087,0,8
17868575,0,8
17873318,0,12
17875431,2,13
17875766,0,12
17875956,2,15
17877004,0,12
17881063,0,12
17881696,0,12
17885916,7,7
17885925,6,10
17888981,7,7
17892768,0,8
17892786,0,12
17893076,0,12
17893350,0,12
17893735,0,8
17894815,4,4
17902383,0,8
17906580,0,12
17917096,4,13
17921549,6,10
17922714,0,8
17929602,0,8
17929957,7,7
17930007,4,13
17930051,0,8
17930450,0,12
17930992,0,12
17932134,4,12
17933076,0,8
17935505,4,4
17942183,5,6
17942324,0,8
17946592,0,8
17946710,7,7
17947345,0,12
17949541,0,12
17954354,0,8
17964148,0,12
17964261,0,8
17965290,0,8
17966884,0,8
17966968,0,8
17967411,7,7
17971689,0,12
17998711,0,8
17998889,2,13
18004363,0,8
18006087,0,8
18006484,4,4
18011168,6,10
18012860,0,12
18022792,0,12
18023574,7,7
18024063,0,12
18028044,6,10
18036861,0,12
18038381,6,10
18060399,4,4
18065296,0,12
18066005,0,12
18076676,0,8
18079081,0,12
18080520,0,8
18087995,4,13
18088562,7,7
18089303,7,7
18089806,0,12
18093351,0,12
18096537,0,12
18101161,4,4
18101678,0,12
18104875,0,8
18105543,5,5
18112504,4,4
18116414,0,8
18116969,2,2
18124482,0,12
18124755,0,12
18129964,0,12
18130215,0,8
18144305,0,8
18146036,6,10
18146307,0,12
18146522,4,13
18158382,4,12
18160997,0,12
18172775,6,10
18176135,0,8
18176195,0,8
18188257,0,8
18197928,7,7
18198196,0,12
18198241,7,7
18198254,6,10
18201573,6,10
18215794,0,8
18216069,4,13
18226596,0,8
18226763,0,12
18227420,6,10
18227846,1,1
18230178,7,7
18231122,7,7
18238357,0,8
18255230,7,7
18272478,0,12
18283819,0,12
18290917,0,12
18326604,0,12
18330963,7,7
18336002,0,12
18342794,2,13
18343157,0,8
18343169,4,4
18343453,0,8
18344232,4,4
18350399,0,8
18365644,7,2
18376964,0,8
18379032,0,12
18379214,0,0
18380887,0,12
18383569,0,12
18384207,0,8
18388889,0,12
18391406,0,12
18391849,2,11
18392463,0,12
18392611,0,12
18394719,0,12
18395245,7,7
18397223,0,8
18408068,4,4
18409061,0,8
18412604,4,13
18418540,0,8
18419840,0,8
18419871,0,8
18423038,0,8
18424050,0,8
18424155,0,8
18429253,0,12
18437511,6,2
18438235,4,13
18441939,0,8
18461503,5,6
18461672,0,12
18472327,0,8
18473289,4,4
18474014,0,8
18477690,6,10
18479474,0,8
18481416,0,12
18489331,7,7
18493540,4,4
18501547,0,8
18509495,4,13
18515171,6,10
18516593,2,15
18520024,0,8
18520078,0,12
18520282,6,10
18520760,0,12
18523214,0,8
18528191,4,4
18531585,0,8
18531913,0,8
18538810,0,12
18540871,0,8
18547871,0,8
18548125,2,11
18548203,0,12
18550579,7,7
18957144,0,8
18976126,4,4
18976950,4,4
18978497,4,4
18978863,4,4
18981268,0,12
18983612,4,4
18992338,0,12
18997386,4,4
19032567,0,8
19033725,0,12
19034376,0,8
19041262,4,13
19046068,4,4
19047630,0,8
19048294,1,1
19048385,0,8
19049596,0,8
19052045,5,5
19057049,6,10
19057184,0,8
19069551,0,8
19069778,0,8
19071316,0,8
19071709,7,7
19075967,0,12
19083105,4,13
19089072,5,5
19089449,0,8
19089527,0,12
19096860,6,10
19098525,0,12
19103224,0,8
19111969,7,7
19129856,0,8
19134561,5,5
19141078,6,10
19142515,0,8
19143292,0,12
19143561,6,10
19143736,0,12
19143849,4,4
19144580,0,8
19145074,0,8
19147469,5,6
19151908,0,8
19151922,2,15
19152460,4,4
19152663,7,7
19153770,0,8
19157621,0,8
19158162,0,12
19162644,0,12
19162681,0,8
19165435,0,8
19165487,4,4
19167110,1,1
19169474,5,6
19177954,7,7
19188395,0,8
19190077,0,12
19191763,4,4
19192177,0,8
19200294,4,4
19200753,0,8
19201748,0,8
19202173,0,8
19205642,0,12
19205880,7,7
19209216,4,4
19213710,0,8
19213727,0,8
19215838,0,8
19215878,6,10
19216018,0,8
19216824,7,7
19217314,0,12
19219562,2,13
19220748,5,5
19221977,4,13
19221995,0,0
19222524,4,12
19234542,0,8
19235120,0,8
19235315,0,12
19237541,4,4
19242743,0,8
19242827,7,7
19242856,0,8
19243406,7,7
19243850,2,11
19244882,4,13
19256083,5,5
19256784,0,8
19257284,0,8
19261285,0,8
19261329,4,4
19262435,0,8
19268342,0,12
19274983,0,12
19275081,0,8
19276817,6,10
19277298,0,8
19278342,0,8
19278457,0,8
19282984,0,8
19286171,4,4
19286330,0,12
19286364,0,8
19286413,7,7
19286434,6,2
19286615,4,4
19286828,0,8
19287020,6,10
19287938,0,8
19288206,0,8
19290848,4,4
19291773,0,8
19291850,7,7
19292182,0,8
19292459,4,4
19293038,0,12
19302646,0,12
19302663,0,0
19304289,0,12
19304650,0,8
19305221,7,7
19306530,4,13
19309429,6,10
19309605,0,12
19309794,0,12
19311801,0,12
19313839,0,8
19313912,2,11
19314648,0,8
19314790,0,8
19333429,0,12
19335358,0,12
19347742,0,0
19348234,0,8
19348911,0,12
19350832,0,8
19351122,6,2
19352151,0,12
19358905,7,7
19358994,4,4
19359016,0,0
19359078,0,8
19359148,4,13
19359901,0,8
19360442,6,10
19360589,4,4
19361624,0,12
19361865,4,13
19362319,0,8
19362885,0,0
19363139,6,10
19363501,0,12
19370303,0,0
19370887,4,13
19370927,0,8
19370991,0,12
19371366,0,12
19371488,0,8
19372923,0,12
19374064,0,12
19374397,4,4
19374478,0,0
19374786,0,0
19382203,0,0
19382532,0,12
19383042,0,8
19383157,0,12
19383431,0,8
19383781,0,8
19384015,0,8
19384133,0,8
19384210,7,7
19384795,0,0
19384882,6,10
19385005,4,13
19385511,7,7
19388191,6,7
19389058,0,0
19393886,0,8
19396307,0,0
19397262,6,10
19403337,0,8
19406140,4,4
19411993,0,8
19412196,0,12
19412690,5,6
19413133,7,7
19413980,0,0
19417126,4,13
19419878,0,0
19428813,0,8
19429201,0,8
19430519,0,12
19431381,0,8
19440953,6,10
19441319,0,8
19444359,0,0
19446071,4,4
19449763,7,7
19457166,6,10
19457689,4,4
19459600,0,8
19459692,0,0
19460636,0,8
19462501,0,12
19463275,0,0
19463418,7,7
19465025,0,0
19473049,0,12
19473417,0,12
19473820,6,10
19473957,0,0
19474021,0,8
19474587,0,8
19477314,4,13
19477476,0,8
19477602,6,10
19487631,0,8
19495530,2,15
19495616,0,12
19496008,7,2
19498253,0,8
19499225,6,2
19500317,0,0
19503054,0,8
19503075,0,8
19503130,0,8
19503148,0,0
19503301,0,0
19503812,6,10
19504032,0,0
19504757,0,8
19504803,7,7
19505238,0,8
19505310,0,12
19505572,7,7
19509263,0,8
19510204,0,8
19510959,4,13
19516892,0,8
19516930,0,8
19519361,7,2
19519378,0,8
19519814,0,8
19519902,0,8
19520745,0,8
19522453,0,8
19525167,4,13
19525275,0,8
19525520,0,0
19525795,0,8
19525826,4,4
19526109,4,13
19526397,4,4
19530387,0,8
19533967,0,12
19534156,4,4
19534988,0,0
19535089,0,12
19537744,2,11
19539025,0,12
19543942,0,0
19546250,0,12
19551590,7,7
19552163,5,5
19552658,0,8
19553317,7,7
19553385,6,10
19554613,6,2
19554754,0,8
19555031,6,10
19560689,0,8
19560974,0,8
19569251,0,8
19569720,0,0
19570014,0,0
19573192,5,5
19578535,0,0
19581003,6,10
19581042,0,0
19581198,0,12
19581212,0,8
19584898,4,13
19585932,0,12
19586083,0,8
19586954,4,13
19587675,0,8
19588183,0,12
19588664,0,8
19589073,0,0
19597135,7,7
19598343,2,2
19598634,1,1
19599720,0,8
19599824,4,4
19600504,4,15
19602584,0,8
19602930,5,5
19603735,0,8
19604542,0,12
